isoform	chrom	strand	length	exons	structuralCategory	associatedGene	associatedTranscript	refLength	refExons	diffToTSS	diffToTTS	subCategory	RTS_stage	AllCanonical	Min_sample_cov	MinCov	MinCovPos	sdCov	FL	nIndels	nIndelsJunc	bite	isoExp	geneExp	ratioExp	FSM_class	coding	ORFlength	CDSlength	CDSstart	CDSend	predit
PB.6316.1	chr7	-	1610	15	full-splice_match	Ruvbl2	NM_011304	1675	15	107	-42	no_subtype	FALSE	canonical	11	831	217	755.26750228	56	0	0	FALSE	8100.53	8644.5	0.937073283591	C	coding	463	1389	95	1483	Pred_POS
PB.5446.1	chr5	+	5863	3	full-splice_match	Smim20	NM_001145433	954	3	55	-4964	no_subtype	FALSE	canonical	12	963	198	169.499262535	4	5	0	FALSE	4863.5	4863.5	1	A	coding	127	381	3795	4175	Pred_POS
PB.1441.1	chr11	-	2499	11	full-splice_match	P4hb	NM_011032	2538	11	36	3	no_subtype	FALSE	canonical	15	962	723	772.269383052	329	0	0	FALSE	26583.5	26583.5	1	A	coding	509	1527	94	1620	Pred_POS
PB.298.2	chr1	-	3107	8	full-splice_match	Tmem183a	ENSMUST00000049470	3149	8	40	2	no_subtype	FALSE	canonical	17	179	436	49.7393204618	22	0	0	FALSE	1355.595	1524.5	0.889206297147	C	coding	375	1194	1	1194	Pred_POS
PB.2267.10	chr14	-	2975	2	full-splice_match	Pcdh9	ENSMUST00000194056	3014	2	0	39	no_subtype	FALSE	canonical	9	17	238	None	3	2	0	FALSE	2989.16	20743.9425	0.144097969805	C	coding	860	2577	395	2971	Pred_POS
PB.1338.2	chr11	-	5128	19	full-splice_match	Cdc27	ENSMUST00000093923	5425	19	14	283	no_subtype	FALSE	canonical	17	84	107	114.258478898	2	7	0	FALSE	1264.9525	1438.75	0.879202432667	C	coding	825	2475	81	2555	Pred_POS
PB.2522.3	chr15	-	3250	13	novel_in_catalog	Lmf2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	10	194	2511	146.273716026	1	16	0	FALSE	221.9725	3885.255	0.0571320286571	C	coding	525	1575	1231	2805	Pred_POS
PB.5095.2	chr4	-	1539	11	novel_not_in_catalog	Cdca8	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	129	362.884279075	1	3	0	TRUE	1930.255	8350	0.231168263473	C	coding	289	867	157	1023	Pred_NEG
PB.5095.3	chr4	-	1497	11	novel_not_in_catalog	Cdca8	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	60	362.884279075	4	4	1	TRUE	140.1575	8350	0.0167853293413	C	coding	289	867	118	984	Pred_NEG
PB.5095.1	chr4	-	1565	10	full-splice_match	Cdca8	NM_026560	1626	10	59	2	no_subtype	FALSE	canonical	7	478	629	271.2471198	82	0	0	FALSE	6279.5875	8350	0.752046407186	C	coding	289	867	177	1043	Pred_POS
PB.3955.1	chr2	-	1839	3	full-splice_match	Clp1	NM_133840	1830	3	-18	9	no_subtype	FALSE	canonical	8	112	124	38.4967531098	2	0	0	FALSE	1071.25	1071.25	1	A	coding	425	1275	147	1421	Pred_POS
PB.6307.9	chr7	-	2796	20	novel_not_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	559	718.242995093	3	1	0	TRUE	187.8825	21011.01	0.00894209750031	B	coding	656	1968	704	2671	Pred_NEG
PB.6307.8	chr7	-	2618	18	novel_not_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	14	239	636.635688601	3	4	1	FALSE	429.9	21011.01	0.020460701318	B	coding	715	2145	348	2492	Pred_NEG
PB.2179.1	chr14	+	3299	9	incomplete-splice_match	Nop9	ENSMUST00000019441	3694	10	384	11	internal_fragment	FALSE	canonical	9	107	394	55.8838080306	6	0	0	FALSE	1266.675	1778	0.712415635546	B	coding	528	1584	22	1605	Pred_POS
PB.6307.5	chr7	-	2763	19	novel_not_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	12	137	2074	574.979130056	2	1	0	FALSE	1163.3425	21011.01	0.0553682331311	B	coding	622	1866	215	2080	Pred_POS
PB.6307.4	chr7	-	2741	19	novel_not_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	6	21	207	617.728095524	456	7	0	FALSE	6476.0625	21011.01	0.308222332006	B	coding	798	2394	220	2613	Pred_POS
PB.7618.1	chrX	+	1070	6	full-splice_match	Mcts1	NM_026902	876	6	-203	9	no_subtype	FALSE	canonical	9	336	575	215.048831664	1	0	0	FALSE	1580.75	1580.75	1	A	coding	181	543	314	856	Pred_POS
PB.6307.6	chr7	-	2664	19	novel_not_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	4	558	1059	506.758325043	4	1	0	FALSE	745.6075	21011.01	0.0354865139753	B	coding	785	2355	184	2538	Pred_NEG
PB.1173.1	chr11	+	2621	4	full-splice_match	Lyrm9	NM_001076681	5053	4	3	2429	no_subtype	FALSE	canonical	11	184	273	75.1199041533	15	0	0	FALSE	1123.5	1123.5	1	A	non_coding	NA	NA	NA	NA	Pred_POS
PB.6307.3	chr7	-	2563	18	novel_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	8	36	1381	631.224207394	7	0	0	FALSE	4720.7525	21011.01	0.224679941612	B	coding	737	2211	225	2435	Pred_POS
PB.6307.2	chr7	-	2689	19	novel_not_in_catalog	Cpt1c	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	7	139	367	600.321580488	7	0	0	FALSE	5306.0925	21011.01	0.252538669012	B	coding	715	2145	417	2561	Pred_POS
PB.1294.1	chr11	+	2052	4	full-splice_match	Nkiras2	NM_028024	2013	4	-42	3	no_subtype	FALSE	canonical	9	451	96	88.6058688801	24	1	0	FALSE	4736.25	4736.25	1	A	coding	191	573	111	683	Pred_POS
PB.2482.1	chr15	-	1219	8	full-splice_match	Pmm1	ENSMUST00000023112	1300	8	73	8	no_subtype	FALSE	canonical	21	2032	143	1650.59262085	81	5	0	FALSE	21816.25	21816.25	1	A	coding	262	786	57	842	Pred_POS
PB.4367.1	chr3	+	1662	7	full-splice_match	Car2	ENSMUST00000029078	1788	7	123	3	no_subtype	FALSE	canonical	17	8199	236	2046.66753529	148	0	0	FALSE	13218.85	13316.2525	0.992685442094	C	coding	260	780	203	982	Pred_POS
PB.4367.2	chr3	+	1519	7	novel_not_in_catalog	Car2	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	267	93	4446.63738121	2	2	0	FALSE	97.4025	13316.2525	0.00731455790584	C	coding	255	837	3	839	Pred_NEG
PB.6602.1	chr7	+	3068	8	full-splice_match	Bub3	NM_009774	2055	8	3	-1016	no_subtype	FALSE	canonical	11	2899	1032	678.130518411	165	2	0	FALSE	3539.97	18869	0.18760771636	C	coding	326	978	62	1039	Pred_POS
PB.6602.3	chr7	+	1320	8	novel_not_in_catalog	Bub3	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	1	1	55	1532.36810199	2	1	0	FALSE	12726.59	18869	0.674470825163	C	coding	326	978	56	1033	Pred_NEG
PB.6602.2	chr7	+	1975	8	full-splice_match	Bub3	XM_006507270	2025	8	-100	150	no_subtype	FALSE	canonical	10	124	137	1493.87549682	1	4	1	FALSE	2602.44	18869	0.137921458477	C	coding	326	978	138	1115	Pred_POS
PB.7490.4	chr9	+	2677	19	novel_in_catalog	Slc26a6	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	non_canonical	0	0	2267	50.5470078244	1	7	1	FALSE	16.8525	1004.505	0.0167769199755	C	coding	249	744	1349	2092	Pred_NEG
PB.268.7	chr1	+	4775	10	novel_in_catalog	Ccnt2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	15	41	863	139.204884972	2	4	0	FALSE	272.5325	3146.7575	0.0866074046062	C	coding	398	1194	1102	2295	Pred_POS
PB.7490.1	chr9	+	2655	20	novel_in_catalog	Slc26a6	novel	NA	NA	NA	NA	combination_of_known_junctions	TRUE	non_canonical	0	0	2247	48.4252000512	4	0	0	FALSE	384.99	1004.505	0.38326339839	C	coding	651	1950	123	2072	Pred_NEG
PB.4088.5	chr2	+	3062	12	novel_not_in_catalog	Usp8	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	1	1	61	510.200940807	1	0	0	TRUE	1162.51	7986.0025	0.145568449296	C	coding	780	2340	51	2390	Pred_NEG
PB.7490.3	chr9	+	2651	20	full-splice_match	Slc26a6	NM_134420	3313	20	652	10	no_subtype	FALSE	non_canonical	0	0	2243	44.2040722106	18	0	0	FALSE	518.595	1004.505	0.516269207221	C	coding	628	1881	188	2068	Pred_NEG
PB.7490.2	chr9	+	2642	20	novel_not_in_catalog	Slc26a6	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	2233	49.7292670366	4	0	0	FALSE	84.0675	1004.505	0.0836904744128	C	coding	628	1881	178	2058	Pred_NEG
PB.4088.4	chr2	+	4118	19	full-splice_match	Usp8	ENSMUST00000028841	4145	19	17	10	no_subtype	FALSE	canonical	12	291	692	411.017031277	74	0	0	FALSE	6604.1725	7986.0025	0.826968498945	C	coding	1080	3240	195	3434	Pred_POS
PB.6185.1	chr7	+	1415	6	novel_not_in_catalog	Zfp667	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	5	12	21	29.2745623366	1	0	0	FALSE	323	323	1	A	coding	188	561	852	1412	Pred_NEG
PB.5753.2	chr5	-	1581	4	full-splice_match	Mtif3	NM_029581	4939	4	-2	3360	no_subtype	FALSE	canonical	11	202	88	128.199063959	13	1	0	FALSE	1248.13	3518.7475	0.354708600148	C	coding	276	828	90	917	Pred_POS
PB.5753.1	chr5	-	1572	4	full-splice_match	Mtif3	ENSMUST00000110566	1134	4	-2	-436	no_subtype	FALSE	canonical	12	321	77	77.2204636091	33	0	0	FALSE	2099.795	3518.7475	0.596745006568	C	coding	276	906	1	906	Pred_POS
PB.6751.1	chr8	-	1864	4	full-splice_match	Brf2	NM_025686	1383	4	-29	-452	no_subtype	FALSE	canonical	10	84	241	36.7151195014	3	1	0	FALSE	534.5	534.5	1	A	coding	420	1260	88	1347	Pred_POS
PB.4088.2	chr2	+	2996	17	incomplete-splice_match	Usp8	ENSMUST00000028841	4145	19	15	1134	3prime_fragment	FALSE	canonical	12	291	694	424.616297379	3	1	0	FALSE	17.7875	7986.0025	0.00222733463958	C	coding	933	2796	197	2992	Pred_POS
PB.2322.1	chr15	-	4678	17	full-splice_match	Rai14	XM_006520190	4908	17	220	10	no_subtype	FALSE	canonical	3	4	845	12.2882057274	5	3	0	FALSE	290	290	1	A	coding	950	2850	110	2959	Pred_NEG
PB.4510.11	chr3	+	1733	9	novel_not_in_catalog	Gm3764	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	22	172	6006.66621347	1	3	1	FALSE	50.765	97860.5025	0.00051874861362	C	non_coding	NA	NA	NA	NA	Pred_NEG
PB.4568.1	chr3	+	1700	12	full-splice_match	Selenbp1	ENSMUST00000090839	1712	12	11	1	no_subtype	FALSE	canonical	12	281	1229	73.5051018637	16	0	0	FALSE	3123.75	3123.75	1	A	coding	472	1416	93	1508	Pred_POS
PB.3512.2	chr19	-	1999	10	full-splice_match	Slc3a2	NM_001161413	2813	10	127	687	no_subtype	FALSE	canonical	12	75	259	771.407155787	2	1	1	FALSE	115.855	9837.5825	0.0117767754425	C	coding	565	1695	148	1842	Pred_POS
PB.3512.3	chr19	-	1841	9	full-splice_match	Slc3a2	NM_008577	2572	9	27	704	no_subtype	FALSE	canonical	22	1449	926	461.624306119	60	6	0	FALSE	6367.1925	9837.5825	0.647231420931	C	coding	526	1578	124	1701	Pred_POS
PB.504.3	chr10	+	2622	11	full-splice_match	Ppil4	XM_006512832	1173	11	28	-1477	no_subtype	FALSE	canonical	15	104	1013	77.6916983982	8	0	0	FALSE	1621.715	3840.5025	0.422266357072	C	coding	338	1014	32	1045	Pred_POS
PB.504.2	chr10	+	3133	13	full-splice_match	Ppil4	NM_026141	2896	13	35	-272	no_subtype	FALSE	canonical	15	272	92	44.4072066223	64	1	0	FALSE	1334.625	3840.5025	0.347513118401	C	coding	492	1476	23	1498	Pred_POS
PB.3512.4	chr19	-	1262	7	full-splice_match	Slc3a2	XM_006526733	1100	7	-166	4	no_subtype	FALSE	canonical	16	283	204	837.157093979	4	1	0	FALSE	3052.3925	9837.5825	0.310278719391	C	coding	303	909	199	1107	Pred_POS
PB.3138.1	chr17	-	2868	10	novel_in_catalog	Lonp1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	12	271	1579	83.5104783845	3	2	0	FALSE	1291.75	1291.75	1	A	coding	467	1401	1374	2774	Pred_POS
PB.5160.1	chr4	-	1469	6	full-splice_match	Tmem222	NM_025667	1482	6	9	4	no_subtype	FALSE	canonical	12	842	336	398.190908987	87	0	0	FALSE	6705.8225	7037.75	0.952836133708	C	coding	175	525	157	681	Pred_POS
PB.5971.1	chr6	-	2530	10	novel_in_catalog	Arhgap25	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	11	417	4.89897948557	1	2	1	FALSE	33.075	128	0.2583984375	C	coding	622	1866	147	2012	Pred_NEG
PB.3159.5	chr17	-	1570	4	novel_not_in_catalog	Tgif1	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	1	1	127	302.826683104	1	13	1	FALSE	77.9775	2023.5025	0.038535904947	C	coding	252	756	346	1101	Pred_NEG
PB.5971.2	chr6	-	2461	11	full-splice_match	Arhgap25	ENSMUST00000101197	2493	11	21	11	no_subtype	FALSE	canonical	1	1	71	6.63324958071	1	3	0	FALSE	94.925	128	0.7416015625	C	coding	622	1866	89	1954	Pred_NEG
PB.7001.1	chr8	-	1555	11	full-splice_match	Ldhd	ENSMUST00000070004	2273	11	-4	722	no_subtype	FALSE	canonical	7	35	140	26.3438797446	2	0	0	FALSE	372	372	1	A	coding	484	1452	69	1520	Pred_NEG
PB.1252.2	chr11	+	1300	9	full-splice_match	Slc35b1	XM_006531985	1299	9	-5	4	no_subtype	FALSE	canonical	14	527	332	926.126341273	15	0	0	FALSE	4843.645	9038.7475	0.535875684103	C	coding	225	675	391	1065	Pred_POS
PB.7602.6	chrX	-	3124	8	full-splice_match	Klhl13	XM_011247494	3170	8	43	3	no_subtype	FALSE	non_canonical	4	48	108	295.751584949	14	0	0	FALSE	918.075	8005.5025	0.114680496321	C	coding	638	1914	131	2044	Pred_POS
PB.7602.7	chrX	-	3214	9	full-splice_match	Klhl13	NM_026167	3251	9	19	18	no_subtype	FALSE	non_canonical	10	215	108	251.394112898	56	0	0	FALSE	5234.0375	8005.5025	0.653804992254	C	coding	604	1812	324	2135	Pred_POS
PB.7602.4	chrX	-	3305	11	novel_in_catalog	Klhl13	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	non_canonical	5	31	223	354.162392131	3	1	0	FALSE	543.3175	8005.5025	0.0678680070364	C	coding	660	1980	246	2225	Pred_POS
PB.7602.5	chrX	-	3281	10	full-splice_match	Klhl13	XM_011247484	3328	10	44	3	no_subtype	FALSE	non_canonical	6	109	271	312.26751352	13	0	0	FALSE	748.47	8005.5025	0.0934944433532	C	coding	604	1812	390	2201	Pred_POS
PB.7602.2	chrX	-	3205	9	novel_in_catalog	Klhl13	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	non_canonical	4	4	147	384.729775297	6	0	0	FALSE	208.24	8005.5025	0.0260121085466	C	coding	697	2124	1	2124	Pred_NEG
PB.7602.1	chrX	-	3084	8	full-splice_match	Klhl13	XM_011247488	3154	8	67	3	no_subtype	FALSE	non_canonical	7	14	74	345.950863563	13	0	0	FALSE	68.8625	8005.5025	0.0086018960084	C	coding	656	1968	37	2004	Pred_NEG
PB.5951.2	chr6	-	2965	2	novel_in_catalog	Sfxn5	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	28	765	112	None	3	1	0	FALSE	239.2675	2342	0.102163748933	C	non_coding	NA	NA	NA	NA	Pred_NEG
PB.5951.1	chr6	-	1213	14	full-splice_match	Sfxn5	NM_178639	3654	14	3	2438	no_subtype	TRUE	canonical	21	331	544	287.047034473	2	1	0	FALSE	2102.7325	2342	0.897836251067	C	coding	342	1029	2	1030	Pred_POS
PB.6524.1	chr7	-	2694	2	novel_in_catalog	Pik3c2a	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	27	247	124	None	2	6	0	FALSE	183.5	183.5	1	A	coding	357	1254	3	1256	Pred_NEG
PB.3003.1	chr17	+	2517	6	full-splice_match	Zfand3	XM_006524027	2731	6	212	2	no_subtype	FALSE	canonical	13	144	58	61.0081961707	3	6	1	FALSE	955.5	955.5	1	A	coding	199	666	3	668	Pred_POS
PB.1717.1	chr12	+	2666	7	full-splice_match	Wdr25	XM_006515657	2710	7	41	3	no_subtype	FALSE	canonical	7	30	1155	10.9087121146	3	2	0	FALSE	417.75	417.75	1	A	coding	535	1605	82	1686	Pred_NEG
PB.5296.3	chr4	-	2705	12	incomplete-splice_match	Agrn	XM_006538494	7421	37	4704	12	5prime_fragment	FALSE	canonical	14	76	626	59.6908703237	3	0	0	FALSE	339.805	2084.5025	0.163014916029	B	coding	388	1506	3	1508	Pred_POS
PB.5296.2	chr4	-	2851	12	incomplete-splice_match	Agrn	ENSMUST00000105574	7193	35	4335	7	5prime_fragment	FALSE	canonical	7	33	767	66.970142601	3	0	0	FALSE	738.6325	2084.5025	0.354344741731	B	coding	524	1647	3	1649	Pred_POS
PB.5296.1	chr4	-	1463	2	novel_in_catalog	Agrn	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	22	236	106	None	2	0	0	FALSE	1006.065	2084.5025	0.48264034224	B	non_coding	NA	NA	NA	NA	Pred_POS
PB.5743.1	chr5	+	1547	10	full-splice_match	Arpc1b	NM_023142	1551	10	0	4	no_subtype	FALSE	canonical	10	2847	86	819.873160922	312	3	0	FALSE	13082.91	21146.2525	0.618686928098	C	coding	372	1116	106	1221	Pred_POS
PB.5743.2	chr5	+	1404	10	novel_not_in_catalog	Arpc1b	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	1	1	1141	1403.57828424	1	0	0	TRUE	694.22	21146.2525	0.0328294576072	C	coding	382	1146	73	1218	Pred_NEG
PB.1987.1	chr13	-	4083	13	full-splice_match	Utp15	NM_178918	4071	13	9	-21	no_subtype	FALSE	canonical	13	71	1471	32.6190128606	8	13	0	FALSE	1214	1214	1	A	coding	528	1584	192	1775	Pred_POS
PB.452.5	chr1	+	1550	10	novel_in_catalog	Parp1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	15	201	724	305.51432045	1	0	0	FALSE	22.415	8565.2525	0.00261696896852	C	coding	478	1431	116	1546	Pred_NEG
PB.1455.2	chr11	+	4125	10	novel_in_catalog	Narf	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	11	121	272	77.3757067819	3	3	0	FALSE	630.6175	2696.5	0.233865195624	C	coding	284	852	3	854	Pred_POS
PB.6739.1	chr8	+	1488	6	incomplete-splice_match	Fgfr1	ENSMUST00000167764	2915	16	1489	-62	internal_fragment	FALSE	canonical	23	707	278	734.986394432	1	2	0	FALSE	4308	4308	1	A	coding	212	765	3	767	Pred_NEG
PB.2749.1	chr16	-	5086	5	full-splice_match	Dtx3l	NM_001013371	5181	5	91	4	no_subtype	FALSE	canonical	4	10	243	53.3572862878	5	4	0	FALSE	494.485	494.485	1	A	coding	748	2244	60	2303	Pred_NEG
PB.4944.2	chr4	+	4630	14	full-splice_match	Prpf4	ENSMUST00000084524	5223	14	8	585	no_subtype	FALSE	canonical	14	113	275	103.773792453	49	0	0	FALSE	2469.4975	3375.5025	0.73159403674	C	coding	521	1563	71	1633	Pred_POS
PB.4944.3	chr4	+	1406	4	novel_not_in_catalog	Prpf4	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	1	1	110	169.911741796	1	2	1	TRUE	751.8425	3375.5025	0.222734985384	C	coding	103	309	37	345	Pred_NEG
PB.2043.1	chr14	+	2239	9	full-splice_match	Abhd6	NM_025341	2018	9	-7	-214	no_subtype	FALSE	canonical	13	442	69	379.370531275	56	1	0	FALSE	1281.76	5524.7525	0.232003153082	C	coding	336	1110	2	1111	Pred_POS
PB.5476.3	chr5	-	1514	5	novel_in_catalog	Sgcb	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	10	405	57	194.404218061	3	0	0	FALSE	630.4625	5689.5025	0.110811534049	C	coding	231	693	19	711	Pred_POS
PB.5476.2	chr5	-	1447	5	novel_not_in_catalog	Sgcb	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	844	259.03667694	1	0	0	TRUE	149.185	5689.5025	0.0262210975388	C	coding	219	675	2	676	Pred_NEG
PB.5476.1	chr5	-	2877	6	full-splice_match	Sgcb	NM_011890	3727	6	-6	856	no_subtype	FALSE	canonical	10	405	63	182.674574038	56	1	0	FALSE	4909.855	5689.5025	0.862967368412	C	coding	320	960	25	984	Pred_POS
PB.7159.1	chr9	+	5066	35	incomplete-splice_match	Ncapd3	ENSMUST00000073127	5499	36	431	2	internal_fragment	FALSE	canonical	15	57	838	69.1664658632	30	0	0	FALSE	2657.25	2657.25	1	A	coding	1506	4518	42	4559	Pred_POS
PB.7099.1	chr9	-	5760	13	full-splice_match	Amotl1	NM_001081395	8951	13	176	3015	no_subtype	FALSE	canonical	11	81	1199	103.947101932	58	2	0	FALSE	4017.75	4017.75	1	A	coding	968	2904	43	2946	Pred_POS
PB.6311.1	chr7	+	1785	9	full-splice_match	Nosip	NM_025533	2134	9	43	306	no_subtype	FALSE	canonical	9	1033	602	291.482417995	28	0	0	FALSE	4726.19	6169.7475	0.766026486497	C	coding	301	903	66	968	Pred_POS
PB.6311.2	chr7	+	1449	9	novel_not_in_catalog	Nosip	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	106	52	504.492814617	3	0	0	FALSE	1443.5575	6169.7475	0.233973513503	C	coding	301	903	54	956	Pred_POS
PB.623.1	chr10	-	2791	13	novel_not_in_catalog	Hk1	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	18	237.467892567	1	1	0	TRUE	3589.355	6907.2475	0.519650555449	B	coding	623	1869	120	1988	Pred_NEG
PB.3077.1	chr17	+	1416	8	full-splice_match	H2-M3	NM_013819	1425	8	6	3	no_subtype	FALSE	canonical	6	66	641	24.4335834457	2	1	0	FALSE	482.435	482.435	1	A	coding	336	1008	23	1030	Pred_POS
PB.623.3	chr10	-	1716	11	incomplete-splice_match	Hk1	NM_001146100	4157	18	273	2168	internal_fragment	FALSE	canonical	15	414	136	121.494855858	1	0	0	FALSE	1372.86	6907.2475	0.198756451104	B	coding	547	1710	2	1711	Pred_NEG
PB.623.2	chr10	-	2887	13	incomplete-splice_match	Hk1	XM_006513246	3729	18	833	9	5prime_fragment	FALSE	canonical	15	497	596	140.463518395	1	0	0	FALSE	1375.455	6907.2475	0.199132143448	B	coding	680	2085	1	2085	Pred_NEG
PB.279.1	chr1	-	3195	22	full-splice_match	Ikbke	NM_019777	3203	22	9	-1	no_subtype	FALSE	canonical	2	11	1526	41.7133072292	5	0	0	FALSE	700.96	1113.5	0.629510552313	C	coding	717	2151	338	2488	Pred_NEG
PB.5959.1	chr6	+	4310	6	full-splice_match	Tgfa	ENSMUST00000032066	4183	6	-54	-73	no_subtype	FALSE	canonical	9	75	113	109.279458271	5	1	0	FALSE	392.5	392.5	1	A	coding	159	549	2	550	Pred_POS
PB.6272.1	chr7	+	3315	14	full-splice_match	Clip3	XM_006540410	3351	14	33	3	no_subtype	FALSE	canonical	18	619	121	878.673431942	31	1	0	FALSE	4681.4825	9795.25	0.477933947577	C	coding	547	1641	168	1808	Pred_POS
PB.6272.2	chr7	+	3283	14	full-splice_match	Clip3	XM_006540411	3329	14	43	3	no_subtype	FALSE	canonical	21	304	112	924.583149316	8	1	0	FALSE	1962.825	9795.25	0.200385390878	C	coding	547	1641	136	1776	Pred_POS
PB.6272.3	chr7	+	3425	13	novel_in_catalog	Clip3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	25	1174	1195	784.780861133	7	0	0	FALSE	1894.0575	9795.25	0.193364896251	C	coding	547	1641	278	1918	Pred_POS
PB.6272.4	chr7	+	2533	9	novel_not_in_catalog	Clip3	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	5	13	65	1097.37869489	1	0	0	FALSE	456.8925	9795.25	0.0466442918762	C	coding	306	918	108	1025	Pred_NEG
PB.5780.2	chr6	+	2641	16	incomplete-splice_match	Phf14	ENSMUST00000115511	3363	18	719	3	internal_fragment	FALSE	canonical	18	101	1544	279.699839113	2	3	0	FALSE	535.4425	977.7525	0.547625805099	B	coding	752	2514	2	2515	Pred_POS
PB.5780.1	chr6	+	2310	17	novel_in_catalog	Phf14	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	18	48	244	280.813105107	1	5	0	FALSE	442.31	977.7525	0.452374194901	B	coding	659	1977	212	2188	Pred_NEG
PB.1763.1	chr13	+	2816	5	full-splice_match	Idi1	NM_145360	2867	5	22	29	no_subtype	TRUE	canonical	16	1139	542	360.309589104	152	16	0	FALSE	4870.3975	4870.3975	1	A	coding	283	849	233	1081	Pred_POS
PB.3421.1	chr18	+	1269	3	full-splice_match	BC031181	NM_001001181	1047	3	-14	-208	no_subtype	FALSE	canonical	10	2420	229	894.499860257	5	0	0	FALSE	11729.25	11729.25	1	A	non_coding	NA	NA	NA	NA	Pred_POS
PB.311.2	chr1	+	1404	6	full-splice_match	Tmem9	NM_001160146	1491	6	81	6	no_subtype	FALSE	canonical	8	94	12	1297.74304082	1	1	0	FALSE	2798.0125	15007.505	0.186440884078	C	coding	183	597	1	597	Pred_POS
PB.311.1	chr1	+	1441	6	full-splice_match	Tmem9	NM_025439	1460	6	14	5	no_subtype	FALSE	canonical	12	1635	48	902.712578842	154	0	0	FALSE	12063.025	15007.505	0.803799498984	C	coding	183	633	1	633	Pred_POS
PB.5945.1	chr6	-	2956	6	full-splice_match	Tex261	ENSMUST00000014892	2984	6	21	7	no_subtype	FALSE	canonical	11	815	441	176.022725806	56	4	0	FALSE	4842.73	7800.75	0.620803127904	C	coding	196	657	1	657	Pred_POS
PB.5945.2	chr6	-	1556	6	novel_not_in_catalog	Tex261	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	5	9	123	433.397046598	1	4	0	FALSE	130.3675	7800.75	0.0167121751114	C	coding	149	447	355	801	Pred_NEG
PB.5945.3	chr6	-	1310	5	full-splice_match	Tex261	XM_006505888	2886	5	38	1538	no_subtype	FALSE	canonical	5	30	425	508.59119143	4	0	0	FALSE	1884.5175	7800.75	0.241581578694	C	coding	140	471	3	473	Pred_POS
PB.5945.4	chr6	-	1378	6	novel_not_in_catalog	Tex261	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	83	436.790567664	1	2	0	TRUE	943.135	7800.75	0.12090311829	C	coding	149	447	160	606	Pred_NEG
PB.1616.2	chr12	+	1743	2	novel_not_in_catalog	Hspa2	novel	NA	NA	NA	NA	no_subtype	TRUE	canonical	12	165	480	None	1	1	0	TRUE	398.8225	5993.25	0.0665452801068	C	coding	359	1077	166	1242	Pred_NEG
PB.1616.1	chr12	+	2531	2	full-splice_match	Hspa2	XM_006515484	2509	2	-29	7	no_subtype	FALSE	canonical	6	40	128	None	3	5	0	FALSE	140.0475	5993.25	0.0233675384808	C	coding	633	1899	134	2032	Pred_NEG
