isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.2655.5	chr16	+	2988	18	novel_not_in_catalog	Top3b	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	2	5	450	42.9068759058	1	12	0	FALSE	214.0525	1416.2525	0.151140068597	C	coding	765	2295	606	2900	35.0
PB.2655.4	chr16	+	2962	19	novel_in_catalog	Top3b	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	0	0	84	41.8449519058	2	1	0	FALSE	97.835	1416.2525	0.0690801957984	C	coding	862	2586	287	2872	35.0
PB.2655.7	chr16	+	2849	18	full-splice_match	Top3b	NM_011624	2963	18	107	7	multi-exon	FALSE	canonical	4	16	557	38.9486841883	1	5	0	FALSE	166.8125	1416.2525	0.117784434626	C	coding	862	2586	174	2759	35.0
PB.2655.6	chr16	+	2982	19	full-splice_match	Top3b	XM_006521994	3232	19	244	6	multi-exon	FALSE	canonical	3	4	110	41.4366987102	1	2	0	FALSE	83.6175	1416.2525	0.0590413785677	C	coding	862	2586	310	2895	35.0
PB.2674.1	chr16	+	1886	18	full-splice_match	Txnrd2	NM_013711	1905	18	10	9	multi-exon	FALSE	canonical	4	27	689	15.4272486205	1	0	0	FALSE	460.1625	460.1625	1.0	A	coding	518	1554	40	1593	25.0
PB.2617.1	chr16	+	2778	4	incomplete-splice_match	Ubn1	XM_006521817	5719	18	2935	6	internal_fragment	FALSE	canonical	4	29	216	9.16515138991	1	2	0	FALSE	818.75	818.75	1.0	A	coding	95	285	313	597	20.0
PB.2601.1	chr16	-	4604	3	full-splice_match	Zfp597	XM_006522576	5590	3	140	846	multi-exon	FALSE	canonical	4	13	136	0.0	3	0	0	FALSE	373.0	373.0	1.0	A	coding	316	948	413	1360	25.0
PB.2653.7	chr16	-	4088	21	full-splice_match	Dnm1l	XM_006522629	4190	21	84	18	multi-exon	FALSE	canonical	4	35	347	231.108199768	3	3	0	FALSE	107.27	7891.7475	0.0135926802017	C	coding	749	2247	98	2344	35.0
PB.2653.6	chr16	-	4047	20	full-splice_match	Dnm1l	XM_006522632	4157	20	97	13	multi-exon	FALSE	canonical	4	35	334	236.302771884	3	3	0	FALSE	144.7775	7891.7475	0.0183454298303	C	coding	738	2214	85	2298	25.0
PB.2653.5	chr16	-	3946	18	full-splice_match	Dnm1l	ENSMUST00000023477	4017	18	65	6	multi-exon	FALSE	canonical	4	78	2143	218.128402552	9	0	0	FALSE	2892.605	7891.7475	0.366535421971	C	coding	699	2097	101	2197	25.0
PB.2653.4	chr16	-	4178	19	novel_in_catalog	Dnm1l	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	36	36	179.080987266	1	4	0	FALSE	86.6675	7891.7475	0.0109820416834	C	coding	414	1242	382	1623	25.0
PB.2653.3	chr16	-	4020	20	novel_in_catalog	Dnm1l	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	35	350	235.877086636	4	3	0	FALSE	454.9725	7891.7475	0.0576516798086	C	coding	723	2169	101	2269	25.0
PB.2653.2	chr16	-	4024	19	full-splice_match	Dnm1l	XM_006522635	4117	19	81	12	multi-exon	FALSE	canonical	4	78	2220	220.138592709	20	0	0	FALSE	1126.995	7891.7475	0.142806773785	C	coding	725	2175	100	2274	25.0
PB.2653.1	chr16	-	4065	20	full-splice_match	Dnm1l	XM_006522633	4151	20	82	4	multi-exon	FALSE	canonical	4	78	2253	215.923597599	34	0	0	FALSE	2104.9075	7891.7475	0.266722611183	C	coding	736	2208	100	2307	15.0
PB.2797.1	chr16	-	3196	12	incomplete-splice_match	Bbx	ENSMUST00000114488	3293	15	632	-535	5prime_fragment	FALSE	canonical	4	16	1791	41.3884041731	2	10	0	FALSE	554.4875	1301.2475	0.426119934909	B	coding	710	2130	129	2258	80.0
PB.2736.1	chr16	-	2879	11	full-splice_match	Iqcg	ENSMUST00000115100	2916	11	4	33	multi-exon	TRUE	canonical	2	8	999	22.2934968096	8	0	0	FALSE	555.245	733.395	0.757088608458	C	coding	419	1257	100	1356	45.0
PB.2736.2	chr16	-	1620	11	full-splice_match	Iqcg	ENSMUST00000115100	2916	11	-1	1297	multi-exon	FALSE	canonical	2	8	1004	22.2934968096	1	1	1	FALSE	178.15	733.395	0.242911391542	C	coding	419	1257	105	1361	25.0
PB.2619.1	chr16	-	1431	8	full-splice_match	Eef2kmt	ENSMUST00000064635	2170	8	7	732	multi-exon	FALSE	canonical	4	40	382	221.918904107	10	1	0	FALSE	1929.1325	2778.25	0.694369657158	C	coding	335	1005	41	1045	25.0
PB.2619.2	chr16	-	3250	7	full-splice_match	Eef2kmt	ENSMUST00000139584	987	7	10	-2273	multi-exon	FALSE	canonical	4	40	352	236.957802151	9	1	0	FALSE	849.1175	2778.25	0.305630342842	C	coding	329	987	11	997	85.0
PB.2645.2	chr16	+	1862	6	novel_not_in_catalog	2900011O08Rik	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	2	6	645	192.691463226	2	5	0	FALSE	156.865	4622.0	0.0339387710948	C	coding	304	912	147	1058	40.0
PB.2645.1	chr16	+	1876	6	full-splice_match	2900011O08Rik	ENSMUST00000056521	2394	6	10	508	multi-exon	TRUE	canonical	4	39	593	157.781494479	21	1	0	FALSE	4465.135	4622.0	0.966061228905	C	coding	203	609	178	786	40.0
PB.2603.1	chr16	+	1595	12	full-splice_match	Cluap1	NM_029738	1595	12	-6	6	multi-exon	FALSE	canonical	4	220	348	89.8387444258	23	0	0	FALSE	1988.6225	2452.17	0.810964370333	C	coding	413	1239	130	1368	25.0
PB.2647.4	chr16	-	1320	4	novel_not_in_catalog	Fopnl	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	45	271	628.815553243	1	0	0	FALSE	152.16	6758.525	0.0225137881416	C	coding	130	390	46	435	20.0
PB.2647.5	chr16	-	4559	1	novel_in_catalog	Fopnl	novel	NA	NA	NA	NA	mono-exon_by_intron_retention/s	FALSE	canonical	NA	NA	NA	NA	7	1	NA	FALSE	197.88	6758.525	0.0292785777962	C	non_coding	NA	NA	NA	NA	80.0
PB.2730.1	chr16	+	4771	9	full-splice_match	Pcyt1a	ENSMUST00000079791	4789	9	17	1	multi-exon	FALSE	canonical	4	106	998	115.117331449	94	1	0	FALSE	5886.5575	6057.0	0.971860244345	C	coding	367	1101	102	1202	15.0
PB.2651.1	chr16	+	2627	16	incomplete-splice_match	Prkdc	XM_011245841	7877	48	5231	19	internal_fragment	FALSE	canonical	2	2	440	6.32455532034	2	3	0	FALSE	162.75	162.75	1.0	A	coding	715	2145	222	2366	20.0
PB.2647.1	chr16	-	1153	4	novel_not_in_catalog	Fopnl	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	32	645.316976377	9	1	1	TRUE	3749.8925	6758.525	0.554838888663	C	non_coding	NA	NA	NA	NA	10.0
PB.2647.2	chr16	-	1450	5	full-splice_match	Fopnl	ENSMUST00000023357	1465	5	12	3	multi-exon	FALSE	canonical	4	371	268	488.464942447	39	0	0	FALSE	2017.0475	6758.525	0.298444926963	C	coding	174	522	43	564	20.0
PB.2647.3	chr16	-	1223	4	full-splice_match	Fopnl	XM_006522450	1821	4	591	7	multi-exon	FALSE	canonical	4	35	42	633.782297007	1	0	0	FALSE	641.545	6758.525	0.0949238184367	C	coding	108	324	15	338	20.0
PB.2605.1	chr16	-	2659	1	incomplete-splice_match	Crebbp	ENSMUST00000023165	10230	31	7568	4	mono-exon	FALSE	canonical	NA	NA	NA	NA	23	2	NA	FALSE	6877.5	7822.0	0.87925083099	B	non_coding	NA	NA	NA	NA	25.0
PB.2732.1	chr16	+	4840	19	full-splice_match	Tfrc	ENSMUST00000023486	4890	19	40	10	multi-exon	FALSE	canonical	4	114	907	58.9745707911	127	3	0	FALSE	2216.9525	4691.75	0.472521447221	C	coding	763	2289	101	2389	30.0
PB.2732.3	chr16	+	4825	19	full-splice_match	Tfrc	ENSMUST00000023486	4890	19	61	4	multi-exon	FALSE	canonical	4	114	886	58.9745707911	1	0	0	FALSE	2333.7625	4691.75	0.497418340704	C	coding	763	2289	80	2368	15.0
PB.2641.1	chr16	+	3565	18	full-splice_match	Rrn3	ENSMUST00000023363	3597	18	27	5	multi-exon	FALSE	canonical	4	222	1731	189.907872401	20	1	0	FALSE	15201.75	15201.75	1.0	A	coding	656	1968	32	1999	20.0
PB.2732.5	chr16	+	5032	19	novel_not_in_catalog	Tfrc	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	1	1	271	70.5195008491	4	1	0	FALSE	37.89	4691.75	0.00807587787073	C	coding	763	2289	295	2583	25.0
PB.2732.4	chr16	+	4981	19	novel_not_in_catalog	Tfrc	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	1	1	216	70.5195008491	1	1	0	FALSE	28.08	4691.75	0.00598497362391	C	coding	763	2289	240	2528	25.0
PB.2621.1	chr16	+	4429	15	full-splice_match	Abat	NM_001170978	4468	15	29	10	multi-exon	FALSE	canonical	4	43	1116	370.615703931	15	1	0	FALSE	3587.0175	19077.755	0.188020943764	C	coding	444	1332	163	1494	40.0
PB.2621.2	chr16	+	4569	16	full-splice_match	Abat	NM_172961	4636	16	56	11	multi-exon	FALSE	canonical	4	215	1404	330.322569619	318	0	0	FALSE	11375.7675	19077.755	0.596284389856	C	coding	500	1500	136	1635	40.0
PB.2621.3	chr16	+	4465	15	novel_in_catalog	Abat	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	1	1	95	393.122118431	2	3	0	FALSE	3468.3775	19077.755	0.181802182699	C	coding	455	1365	161	1525	35.0
PB.2621.4	chr16	+	4494	17	novel_not_in_catalog	Abat	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	2043	382.054969867	1	5	1	TRUE	45.2975	19077.755	0.00237436218255	C	coding	500	1500	141	1640	35.0
PB.2621.5	chr16	+	4425	15	novel_in_catalog	Abat	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	4	135	806	376.160869842	1	9	0	FALSE	601.295	19077.755	0.031518121498	C	coding	256	768	140	907	40.0
PB.2677.1	chr16	-	1909	19	full-splice_match	Cdc45	XM_011245813	1970	19	58	3	multi-exon	TRUE	canonical	4	117	1723	118.726576637	15	0	0	FALSE	1925.8175	2222.0	0.866704545455	C	coding	566	1698	88	1785	5.0
PB.2677.2	chr16	-	1709	18	full-splice_match	Cdc45	ENSMUST00000096990	1747	18	35	3	multi-exon	FALSE	canonical	2	13	230	133.828248139	2	5	0	FALSE	296.1825	2222.0	0.133295454545	C	coding	520	1560	27	1586	5.0
PB.2609.1	chr16	-	1317	5	full-splice_match	Nmral1	NM_001290761	1429	5	107	5	multi-exon	FALSE	canonical	4	356	355	117.388244727	7	0	0	FALSE	2149.25	2149.25	1.0	A	coding	299	897	316	1212	45.0
PB.2774.1	chr16	-	1635	1	incomplete-splice_match	Arhgap31	NM_020260	7722	12	6085	3	mono-exon	FALSE	canonical	NA	NA	NA	NA	2	0	NA	FALSE	281.25	281.25	1.0	A	coding	168	504	584	1087	15.0
PB.2629.1	chr16	-	3118	8	novel_in_catalog	Tvp23a	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	60	241	50.3189825016	10	1	0	FALSE	543.55	3744.5	0.145159567365	C	coding	213	639	153	791	35.0
PB.2629.2	chr16	-	3175	6	full-splice_match	Tvp23a	XM_011245940	1371	6	13	-1817	multi-exon	FALSE	canonical	4	66	443	44.955533586	9	0	0	FALSE	1583.875	3744.5	0.42298704767	C	coding	100	300	549	848	35.0
PB.2629.3	chr16	-	3302	7	full-splice_match	Tvp23a	NM_001013778	3303	7	-5	6	multi-exon	FALSE	canonical	4	60	426	45.9020696701	11	0	0	FALSE	1274.805	3744.5	0.34044732274	C	coding	222	666	311	976	30.0
PB.2629.4	chr16	-	2946	7	novel_in_catalog	Tvp23a	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	66	217	51.8941229813	2	2	0	FALSE	206.16	3744.5	0.0550567498999	C	coding	100	300	323	622	30.0
PB.2629.5	chr16	-	2979	7	novel_in_catalog	Tvp23a	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	2	4	105	64.1170804076	1	2	1	FALSE	136.11	3744.5	0.0363493123247	C	coding	100	300	356	655	30.0
PB.2776.1	chr16	+	2536	9	full-splice_match	Lsamp	XM_006522201	9112	9	548	6028	multi-exon	FALSE	canonical	4	98	1029	137.61903938	3	1	0	FALSE	2316.25	2316.25	1.0	A	coding	361	1083	42	1124	40.0
PB.2643.1	chr16	-	3070	24	full-splice_match	Pdxdc1	NM_001291017	3821	24	175	576	multi-exon	FALSE	non_canonical	4	42	1847	95.6033472217	41	0	0	FALSE	1673.44	4337.7725	0.385783256268	C	coding	789	2367	36	2402	0.0
PB.2643.2	chr16	-	2303	16	novel_in_catalog	Pdxdc1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	non_canonical	4	42	1086	98.4073168011	1	0	0	FALSE	985.715	4337.7725	0.227239902508	C	coding	495	1485	157	1641	0.0
PB.2643.3	chr16	-	2837	23	full-splice_match	Pdxdc1	ENSMUST00000115804	2880	23	44	-1	multi-exon	FALSE	non_canonical	4	20	2149	108.577161503	4	0	0	FALSE	811.8275	4337.7725	0.187153083754	C	coding	710	2130	43	2172	0.0
PB.2643.4	chr16	-	3031	24	novel_in_catalog	Pdxdc1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	non_canonical	4	42	1876	104.07689465	1	1	0	FALSE	620.3475	4337.7725	0.143010612013	C	coding	821	2463	65	2527	0.0
PB.2643.5	chr16	-	3073	24	full-splice_match	Pdxdc1	XM_011246053	4246	24	170	1003	multi-exon	FALSE	non_canonical	3	6	2142	107.512789937	1	6	0	FALSE	110.3025	4337.7725	0.0254283736641	C	coding	795	2385	36	2420	0.0
PB.2643.6	chr16	-	2660	23	full-splice_match	Pdxdc1	ENSMUST00000154150	3178	23	-24	542	multi-exon	FALSE	non_canonical	4	42	1883	97.6217188949	2	2	0	FALSE	136.14	4337.7725	0.0313847717924	C	coding	787	2361	72	2432	30.0
PB.2627.2	chr16	-	3291	6	novel_not_in_catalog	Emp2	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	12	711	256.060539717	3	2	0	TRUE	1108.2075	5997.75	0.184770538952	C	coding	283	849	221	1069	40.0
PB.2734.2	chr16	+	1644	7	full-splice_match	Fyttd1	XM_006522523	1087	7	124	-681	multi-exon	FALSE	canonical	2	3	734	185.213390445	1	0	0	FALSE	94.9125	5404.0	0.0175633789785	C	coding	220	660	82	741	10.0
PB.2734.1	chr16	+	4379	9	full-splice_match	Fyttd1	NM_027226	4397	9	28	-10	multi-exon	FALSE	canonical	4	44	673	223.494966386	38	7	0	FALSE	3318.68	5404.0	0.614115470022	C	coding	317	951	83	1033	20.0
PB.2627.1	chr16	-	3366	5	full-splice_match	Emp2	NM_007929	3440	5	64	10	multi-exon	FALSE	canonical	4	284	93	176.655031063	19	0	0	FALSE	4807.705	5997.75	0.801584760952	C	coding	172	516	179	694	45.0
PB.2775.1	chr16	-	1292	1	genic_intron	novelGene_7	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	1	1	NA	FALSE	3.0	3.0	1.0	A	non_coding	NA	NA	NA	NA	70.0
PB.2679.3	chr16	+	4471	4	full-splice_match	B3gnt5	NM_054052	4548	4	75	2	multi-exon	FALSE	canonical	3	15	356	7.48331477355	15	0	0	FALSE	457.0675	1002.75	0.455814011468	C	coding	336	1008	873	1880	20.0
PB.2679.2	chr16	+	4392	5	full-splice_match	B3gnt5	XM_011245803	4798	5	98	308	multi-exon	FALSE	canonical	2	3	578	12.1655250606	2	5	0	FALSE	208.3675	1002.75	0.207796060833	C	coding	336	1008	1095	2102	55.0
PB.2679.1	chr16	+	4296	5	full-splice_match	B3gnt5	ENSMUST00000121344	4175	5	100	-221	multi-exon	FALSE	canonical	2	9	464	6.8556546004	7	1	0	FALSE	337.315	1002.75	0.336389927699	C	coding	336	1008	995	2002	55.0
PB.2738.3	chr16	+	1340	13	incomplete-splice_match	Snx4	NM_080557	2442	14	-38	1140	3prime_fragment	FALSE	canonical	4	45	640	346.310554272	1	0	0	FALSE	750.03	6817.75	0.110011367387	C	coding	432	1296	44	1339	35.0
PB.2738.2	chr16	+	2358	14	novel_not_in_catalog	Snx4	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	64	377.169723069	1	0	0	FALSE	1624.5925	6817.75	0.238288658282	C	coding	403	1209	65	1273	30.0
PB.2663.4	chr16	+	2799	15	novel_not_in_catalog	Lztr1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	9	647	122.617290787	1	6	0	FALSE	210.9775	4665.4975	0.0452207937096	C	coding	504	1512	749	2260	15.0
PB.2663.5	chr16	+	2864	15	novel_in_catalog	Lztr1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	46	1591	107.554637278	2	2	0	FALSE	129.7625	4665.4975	0.0278132182045	C	coding	639	1917	410	2326	15.0
PB.2663.2	chr16	+	2862	19	full-splice_match	Lztr1	XM_006522477	3285	19	418	5	multi-exon	FALSE	canonical	4	16	2129	116.567576967	3	0	0	FALSE	100.835	4665.4975	0.021612914807	C	coding	699	2097	70	2166	15.0
PB.2663.3	chr16	+	3018	18	novel_in_catalog	Lztr1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	16	2112	118.966381806	1	4	0	FALSE	951.1825	4665.4975	0.203875899623	C	coding	699	2097	53	2149	15.0
PB.2708.1	chr16	-	3733	11	full-splice_match	Masp1	XM_006521828	4211	11	473	5	multi-exon	FALSE	canonical	2	15	809	39.2555728528	3	8	0	FALSE	1630.75	1630.75	1.0	A	coding	733	2199	51	2249	30.0
PB.2718.1	chr16	-	2259	14	full-splice_match	Lsg1	NM_178069	2302	14	36	7	multi-exon	FALSE	canonical	4	180	243	149.763146334	8	0	0	FALSE	4189.035	4647.25	0.901400828447	C	coding	644	1932	18	1949	25.0
PB.2837.1	chr16	-	2893	10	novel_in_catalog	Paxbp1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	49	1954	97.0875893202	7	0	0	FALSE	2588.5	2588.5	1.0	A	coding	430	1290	1493	2782	35.0
PB.2700.1	chr16	-	2619	9	novel_not_in_catalog	Igf2bp2	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	89	65.6277380381	1	11	0	TRUE	1239.75	1239.75	1.0	A	coding	258	774	129	902	80.0
PB.2625.1	chr16	-	2914	18	incomplete-splice_match	Usp7	ENSMUST00000160326	4488	31	1563	11	5prime_fragment	FALSE	canonical	4	9	1076	30.4795013083	2	3	0	FALSE	1201.75	1201.75	1.0	A	coding	538	1614	129	1742	50.0
PB.2716.2	chr16	+	3553	30	full-splice_match	Opa1	XM_006522657	6073	30	69	2451	multi-exon	FALSE	canonical	4	20	2768	54.3046959295	1	9	0	FALSE	548.175	2952.0	0.185696138211	C	coding	997	2991	162	3152	40.0
PB.2716.1	chr16	+	5888	29	full-splice_match	Opa1	NM_133752	5948	29	44	16	multi-exon	FALSE	canonical	4	20	2658	53.9258750509	22	1	0	FALSE	2403.825	2952.0	0.814303861789	C	coding	960	2880	163	3042	30.0
PB.2772.1	chr16	-	2988	11	full-splice_match	Poglut1	NM_001300827	3038	11	44	6	multi-exon	FALSE	canonical	4	54	130	191.700286906	43	1	0	FALSE	1641.935	6730.0	0.243972511144	C	coding	317	951	474	1424	25.0
PB.2702.1	chr16	-	3871	13	full-splice_match	Etv5	NM_023794	3822	13	-48	-1	multi-exon	FALSE	canonical	4	208	313	177.248413251	53	0	0	FALSE	16569.0	16569.0	1.0	A	coding	510	1530	181	1710	15.0
PB.2772.3	chr16	-	2593	10	novel_in_catalog	Poglut1	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	2	7	110	204.381995293	1	1	1	FALSE	252.2425	6730.0	0.0374803120357	C	coding	351	1053	58	1110	30.0
PB.2772.2	chr16	-	2775	11	full-splice_match	Poglut1	NM_172380	2835	11	44	16	multi-exon	FALSE	canonical	4	126	365	177.344297907	142	0	0	FALSE	4567.6175	6730.0	0.678695022288	C	coding	392	1176	46	1221	30.0
PB.2623.2	chr16	+	1802	9	novel_in_catalog	Pmm2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	2	6	101	190.268231715	4	2	0	FALSE	904.48	3800.0	0.238021052632	C	coding	219	657	117	773	35.0
PB.2623.1	chr16	+	1795	9	full-splice_match	Pmm2	NM_016881	1802	9	9	-2	multi-exon	FALSE	canonical	4	180	113	155.341559153	21	1	0	FALSE	2895.52	3800.0	0.761978947368	C	coding	242	726	60	785	25.0
PB.2714.1	chr16	-	3046	2	full-splice_match	Mb21d2	NM_177718	3080	2	30	4	multi-exon	FALSE	canonical	4	32	216	NA	3	0	0	FALSE	381.75	381.75	1.0	A	coding	489	1467	12	1478	20.0
PB.2675.2	chr16	-	1443	6	full-splice_match	Comt	ENSMUST00000000335	1178	6	-70	-195	multi-exon	TRUE	canonical	4	386	157	298.486180585	16	2	0	FALSE	3882.1375	5381.0875	0.721441065584	C	coding	265	795	158	952	90.0
PB.2675.1	chr16	-	1425	5	full-splice_match	Comt	ENSMUST00000115609	1786	5	358	3	multi-exon	FALSE	canonical	4	269	139	345.076803045	5	0	0	FALSE	1498.95	5381.0875	0.278558934416	C	coding	265	795	140	934	90.0
PB.2704.1	chr16	+	1804	10	full-splice_match	Dnajb11	ENSMUST00000004574	1927	10	108	15	multi-exon	FALSE	canonical	4	61	688	55.4707129934	12	1	0	FALSE	1363.75	1363.75	1.0	A	coding	358	1074	90	1163	25.0
PB.2724.1	chr16	-	2723	10	full-splice_match	Senp5	ENSMUST00000023457	3498	10	141	634	multi-exon	FALSE	canonical	3	8	1787	11.6189500386	1	3	0	FALSE	315.0	709.75	0.443818245861	C	coding	749	2247	187	2433	65.0
PB.2750.1	chr16	+	3166	11	full-splice_match	Parp9	ENSMUST00000114878	3548	11	379	3	multi-exon	FALSE	canonical	3	26	315	16.7928556237	6	5	0	FALSE	482.1175	717.77	0.671688005907	C	coding	830	2490	301	2790	25.0
PB.2750.2	chr16	+	3084	11	incomplete-splice_match	Parp9	XM_006522756	3194	12	102	8	internal_fragment	FALSE	canonical	1	1	27	24.4335834457	2	10	0	FALSE	235.6525	717.77	0.328311994093	C	coding	866	2598	116	2713	25.0
PB.2835.1	chr16	+	1627	8	full-splice_match	Eva1c	ENSMUST00000037539	1698	8	52	19	multi-exon	FALSE	canonical	4	38	589	8.18535277187	3	0	0	FALSE	460.75	460.75	1.0	A	coding	440	1320	109	1428	20.0
PB.2823.1	chr16	+	4669	10	full-splice_match	Jam2	NM_023844	4822	10	146	7	multi-exon	TRUE	canonical	4	267	462	305.63703964	64	3	0	FALSE	4569.8725	7855.5	0.58174177328	C	coding	289	867	246	1112	50.0
PB.2823.2	chr16	+	4021	10	novel_not_in_catalog	Jam2	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	5	88	376.806316295	2	0	0	FALSE	3285.6275	7855.5	0.41825822672	C	coding	209	627	289	915	30.0
PB.2659.5	chr16	-	1437	5	novel_not_in_catalog	Ube2l3	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	53	2017.71281405	1	2	0	FALSE	71.1025	25199.745	0.00282155632924	C	non_coding	NA	NA	NA	NA	80.0
PB.2659.4	chr16	-	1544	3	novel_not_in_catalog	Ube2l3	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	56	2335.49994648	1	2	1	FALSE	62.795	25199.745	0.00249189029492	C	non_coding	NA	NA	NA	NA	40.0
PB.2659.6	chr16	-	1320	4	novel_not_in_catalog	Ube2l3	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	365	1632.94519198	1	5	0	FALSE	20.9225	25199.745	0.000830266338013	C	coding	122	366	28	393	80.0
PB.2659.1	chr16	-	1354	5	novel_in_catalog	Ube2l3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	0	0	53	2069.51298619	6	1	0	FALSE	6953.29	25199.745	0.275926998468	C	coding	146	438	27	464	15.0
PB.2659.3	chr16	-	1620	4	full-splice_match	Ube2l3	NM_009456	2609	4	22	967	multi-exon	FALSE	canonical	0	0	36	1979.74139725	1	5	1	FALSE	7957.0425	25199.745	0.315758849941	C	coding	154	462	10	471	40.0
PB.2659.2	chr16	-	2605	4	full-splice_match	Ube2l3	NM_009456	2609	4	0	4	multi-exon	FALSE	canonical	0	0	58	1979.74139725	360	0	0	FALSE	10134.5925	25199.745	0.402170438629	C	coding	154	462	32	493	20.0
PB.2825.2	chr16	-	2560	13	incomplete-splice_match	App	ENSMUST00000005406	3128	16	561	7	5prime_fragment	FALSE	canonical	4	11	453	91.0714005602	3	0	0	FALSE	1139.975	2838.7475	0.401576751719	C	coding	555	1665	9	1673	20.0
PB.2825.3	chr16	-	3329	18	full-splice_match	App	NM_001198823	3357	18	2	26	multi-exon	FALSE	canonical	4	45	204	85.0411665019	3	11	0	FALSE	1011.5325	2838.7475	0.3563305648	C	coding	770	2310	148	2457	55.0
PB.2825.1	chr16	-	3264	17	full-splice_match	App	NM_001198824	3300	17	26	10	multi-exon	FALSE	canonical	4	45	180	87.5899537618	4	3	0	FALSE	543.47	2838.7475	0.191447108276	C	coding	751	2253	124	2376	20.0
PB.2825.4	chr16	-	1687	11	incomplete-splice_match	App	NM_001198825	3246	16	855	704	5prime_fragment	FALSE	canonical	4	36	1146	101.178060863	1	5	0	FALSE	143.77	2838.7475	0.0506455752053	C	coding	431	1293	201	1493	15.0
PB.2758.1	chr16	-	3033	5	full-splice_match	Gtf2e1	NM_028812	3058	5	23	2	multi-exon	FALSE	canonical	4	193	94	37.7491721764	43	0	0	FALSE	2733.25	2733.25	1.0	A	coding	440	1320	120	1439	40.0
PB.2815.1	chr16	-	1901	6	full-splice_match	Chmp2b	NM_026879	1838	6	-63	0	multi-exon	FALSE	canonical	4	61	676	18.6279360102	4	0	0	FALSE	693.0	693.0	1.0	A	coding	213	639	253	891	35.0
PB.2839.1	chr16	-	1242	4	novel_not_in_catalog	4932438H23Rik	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	2	3	266	18.2208671583	1	0	0	FALSE	488.59	488.59	1.0	A	coding	212	636	579	1214	75.0
PB.2706.1	chr16	-	1316	10	novel_in_catalog	Rfc4	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	437	451	160.972047263	1	3	0	FALSE	2445.345	3146.5	0.777163515017	B	coding	364	1092	162	1253	55.0
PB.2706.2	chr16	-	1053	10	novel_not_in_catalog	Rfc4	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	4	64	158	245.483196981	1	1	0	FALSE	701.155	3146.5	0.222836484983	B	coding	210	630	362	991	50.0
PB.2833.1	chr16	+	1760	1	incomplete-splice_match	Hunk	NM_015755	5009	11	3244	6	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	1	NA	FALSE	256.0	256.0	1.0	A	non_coding	NA	NA	NA	NA	15.0
